government_list,resignations
https://it.wikipedia.org/wiki/Governo_De_Gasperi_I,"1º luglio 1946
"
https://it.wikipedia.org/wiki/Governo_De_Gasperi_III,"13 maggio 1947
"
https://it.wikipedia.org/wiki/Governo_De_Gasperi_IV,"12 maggio 1948 (respinte)
"
https://it.wikipedia.org/wiki/Governo_De_Gasperi_V,"12 gennaio 1950
"
https://it.wikipedia.org/wiki/Governo_De_Gasperi_VI,"16 luglio 1951
"
https://it.wikipedia.org/wiki/Governo_De_Gasperi_VII,"29 giugno 1953
"
https://it.wikipedia.org/wiki/Governo_De_Gasperi_VIII,"28 luglio 1953
"
https://it.wikipedia.org/wiki/Governo_Pella,"5 gennaio 1954
"
https://it.wikipedia.org/wiki/Governo_Fanfani_I,"30 gennaio 1954
"
https://it.wikipedia.org/wiki/Governo_Scelba,"22 giugno 1955
"
https://it.wikipedia.org/wiki/Governo_Segni_I,"6 maggio 1957
"
https://it.wikipedia.org/wiki/Governo_Zoli,"19 giugno 1958
"
https://it.wikipedia.org/wiki/Governo_Fanfani_II,"26 gennaio 1959
"
https://it.wikipedia.org/wiki/Governo_Segni_II,"24 febbraio 1960
"
https://it.wikipedia.org/wiki/Governo_Tambroni,"19 luglio 1960
"
https://it.wikipedia.org/wiki/Governo_Fanfani_III,"2 febbraio 1962
"
https://it.wikipedia.org/wiki/Governo_Fanfani_IV,"16 maggio 1963
"
https://it.wikipedia.org/wiki/Governo_Leone_I,"5 novembre 1963
"
https://it.wikipedia.org/wiki/Governo_Moro_I,"26 giugno 1964
"
https://it.wikipedia.org/wiki/Governo_Moro_II,"21 gennaio 1966
"
https://it.wikipedia.org/wiki/Governo_Moro_III,"5 giugno 1968
"
https://it.wikipedia.org/wiki/Governo_Leone_II,"19 novembre 1968
"
https://it.wikipedia.org/wiki/Governo_Rumor_I,"5 luglio 1969
"
https://it.wikipedia.org/wiki/Governo_Rumor_II,"7 febbraio 1970
"
https://it.wikipedia.org/wiki/Governo_Rumor_III,"6 luglio 1970
"
https://it.wikipedia.org/wiki/Governo_Colombo,"15 gennaio 1972
"
https://it.wikipedia.org/wiki/Governo_Andreotti_I,"26 Febbraio 1972
"
https://it.wikipedia.org/wiki/Governo_Andreotti_II,"12 giugno 1973
"
https://it.wikipedia.org/wiki/Governo_Rumor_IV,"2 marzo 1974
"
https://it.wikipedia.org/wiki/Governo_Rumor_V,"3 ottobre 1974
"
https://it.wikipedia.org/wiki/Governo_Moro_IV,"7 gennaio 1976
"
https://it.wikipedia.org/wiki/Governo_Moro_V,"30 aprile 1976
"
https://it.wikipedia.org/wiki/Governo_Andreotti_III,"16 gennaio 1978
"
https://it.wikipedia.org/wiki/Governo_Andreotti_IV,"31 gennaio 1979
"
https://it.wikipedia.org/wiki/Governo_Andreotti_V,"5 agosto 1979
"
https://it.wikipedia.org/wiki/Governo_Cossiga_I,"19 marzo 1980
"
https://it.wikipedia.org/wiki/Governo_Cossiga_II,"28 settembre 1980
"
https://it.wikipedia.org/wiki/Governo_Forlani,"26 maggio 1981
"
https://it.wikipedia.org/wiki/Governo_Spadolini_I,"7 agosto 1982
"
https://it.wikipedia.org/wiki/Governo_Spadolini_II,"13 novembre 1982
"
https://it.wikipedia.org/wiki/Governo_Fanfani_V,"29 aprile 1983
"
https://it.wikipedia.org/wiki/Governo_Craxi_I,"27 giugno 1986
"
https://it.wikipedia.org/wiki/Governo_Craxi_II,"3 marzo 1987
"
https://it.wikipedia.org/wiki/Governo_Fanfani_VI,"28 aprile 1987
"
https://it.wikipedia.org/wiki/Governo_Goria,"11 marzo 1988
"
https://it.wikipedia.org/wiki/Governo_De_Mita,"19 maggio 1989
"
https://it.wikipedia.org/wiki/Governo_Andreotti_VI,"29 marzo 1991
"
https://it.wikipedia.org/wiki/Governo_Andreotti_VII,"24 aprile 1992
"
https://it.wikipedia.org/wiki/Governo_Amato_I,"22 aprile 1993
"
https://it.wikipedia.org/wiki/Governo_Ciampi,"13 gennaio 1994
"
https://it.wikipedia.org/wiki/Governo_Berlusconi_I,"22 dicembre 1994
"
https://it.wikipedia.org/wiki/Governo_Dini,"11 gennaio 1996
"
https://it.wikipedia.org/wiki/Governo_Prodi_I,"9 ottobre 1998
"
https://it.wikipedia.org/wiki/Governo_D%27Alema_I,"18 dicembre 1999
"
https://it.wikipedia.org/wiki/Governo_D%27Alema_II,"19 aprile 2000
"
https://it.wikipedia.org/wiki/Governo_Amato_II,"31 maggio 2001
"
https://it.wikipedia.org/wiki/Governo_Berlusconi_II,"20 aprile 2005
"
https://it.wikipedia.org/wiki/Governo_Berlusconi_III,"2 maggio 2006
"
https://it.wikipedia.org/wiki/Governo_Prodi_II,"24 gennaio 2008
"
https://it.wikipedia.org/wiki/Governo_Berlusconi_IV,"12 novembre 2011
"
https://it.wikipedia.org/wiki/Governo_Monti,"21 dicembre 2012
"
https://it.wikipedia.org/wiki/Governo_Letta,"14 febbraio 2014
"
https://it.wikipedia.org/wiki/Governo_Renzi,"7 dicembre 2016
"
https://it.wikipedia.org/wiki/Governo_Gentiloni,"24 marzo 2018
"
https://it.wikipedia.org/wiki/Governo_Conte_I,"20 agosto 2019
"
https://it.wikipedia.org/wiki/Governo_Conte_II,"26 gennaio 2021
"
