Government,Period,Main economic policies adopted or implemented
Zolotas I (Greece),1989–1990,Re‐organisation of collective bargaining framework; VAT increase
Stolojan (Romania),1991–1992,Price liberalisation; wage stabilisation; privatisation of some state‐owned enterprises; decrease of restrictions on exports
"Vacaroiu I, II and III (Romania)",1992–1996,Price and trade liberalisations; cuts in subsidies to state enterprises; privatisation policies; introduction of VAT
Berov (Bulgaria),1992–1994,Deficit reduction; privatisation law; law on agricultural land ownership and use; introduction of VAT
Ciampi (Italy),1993–1994,Reform of the collective bargaining system; public administration reforms; wage controls; adoption of a legal framework for supplementary pensions; electoral system reform
Dini (Italy),1995–1996,Introduction of a flexible retirement age; shift to a contribution‐related formula for pensions; indexation of pensions to real wage growth; deficit cuts
Isarescu (Romania),1999–2000,Introduction of new pension systems; financial sector reforms; privatisation law
Bajnai (Hungary),2009–2010,Income tax reductions; abolition of different special taxes; introduction of new property taxes; indexing of pensions to GDP; increase in the retirement age
Fischer (Czech Republic),2009–2010,Adoption of ‘anti‐crisis package’ (deficit cuts; increase in VAT and consumer tax; reduction of some state benefits; suspension of plans to increase pensions; reduction of salaries for state employees)
Papademos (Greece),2011–2012,Adoption of ‘anti‐crisis package’ (increase in property tax; introduction of special tax on high pensions; reform of pension system; cuts to public sector allowances)
Monti (Italy),2011–2013,"Large reduction in the budget deficit; introduction of property taxes; increase in the retirement age; cuts in the size and costs of administrative bodies; ‘liberalisation’ of closed professions, labour market reform"
