country_name_short,country_name,election_date,start_date,cabinet_name,caretaker,cabinet_party,prime_minister,seats,election_seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,cabinet_id,previous_cabinet_id,party_id
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,2,556,CDR,Concentrazione Democratica Repubblicana,Republican Democratic Concentration,6,26,503,416,,2044
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,1,1,207,556,DC,Democrazia Cristiana,Christian Democrats,5.6611,26,503,416,,1633
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,30,556,FUQ,Fronte dell'Uomo Qualunque,Front of the Ordinary Man,7.4,26,503,416,,409
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,4,556,MIS,Movimento Indipendentista Siciliano,Movement for the Independence of Sicily,,26,503,416,,1028
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,7,556,PAz,Partito d'Azione,Action Party,1.3,26,503,416,,1330
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,1,0,104,556,PCI,Partito Comunista Italiano,Communist Party,1.6,26,503,416,,1088
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,42,556,PLI,Partito Liberale Italiano,Italian Liberal Party,6.45,26,503,416,,487
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,16,556,PNM,Partito Nazionale Monarchico,Monarchist National Party,8.8,26,503,416,,1050
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,1,0,23,556,PRI,Partito Repubblicano Italiano,Republican Party,4.9704,26,503,416,,93
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,2,556,PSA,Partito Sardo d'Azione,Sardinian Action Party,4.2,26,503,416,,335
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,1,0,115,556,PSI,Partito Socialista Italiano,Italian Socialist Party,3.7722,26,503,416,,1475
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,1,556,PaCoI,Partito dei Contadini d'Italia,Agrarian Party,5.3,26,503,416,,618
ITA,Italy,1946-06-02,1946-07-13,De Gasperi I,0,0,0,3,556,one-seat,one seat,one seat,,26,503,416,,2302
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,2,556,CDR,Concentrazione Democratica Repubblicana,Republican Democratic Concentration,6,26,503,525,416,2044
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,1,1,207,556,DC,Democrazia Cristiana,Christian Democrats,5.6611,26,503,525,416,1633
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,30,556,FUQ,Fronte dell'Uomo Qualunque,Front of the Ordinary Man,7.4,26,503,525,416,409
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,4,556,MIS,Movimento Indipendentista Siciliano,Movement for the Independence of Sicily,,26,503,525,416,1028
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,7,556,PAz,Partito d'Azione,Action Party,1.3,26,503,525,416,1330
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,1,0,104,556,PCI,Partito Comunista Italiano,Communist Party,1.6,26,503,525,416,1088
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,42,556,PLI,Partito Liberale Italiano,Italian Liberal Party,6.45,26,503,525,416,487
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,16,556,PNM,Partito Nazionale Monarchico,Monarchist National Party,8.8,26,503,525,416,1050
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,23,556,PRI,Partito Repubblicano Italiano,Republican Party,4.9704,26,503,525,416,93
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,2,556,PSA,Partito Sardo d'Azione,Sardinian Action Party,4.2,26,503,525,416,335
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,1,0,115,556,PSI,Partito Socialista Italiano,Italian Socialist Party,3.7722,26,503,525,416,1475
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,1,556,PaCoI,Partito dei Contadini d'Italia,Agrarian Party,5.3,26,503,525,416,618
ITA,Italy,1946-06-02,1947-02-02,De Gasperi II,0,0,0,3,556,one-seat,one seat,one seat,,26,503,525,416,2302
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,2,556,CDR,Concentrazione Democratica Repubblicana,Republican Democratic Concentration,6,26,503,501,525,2044
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,1,1,207,556,DC,Democrazia Cristiana,Christian Democrats,5.6611,26,503,501,525,1633
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,30,556,FUQ,Fronte dell'Uomo Qualunque,Front of the Ordinary Man,7.4,26,503,501,525,409
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,4,556,MIS,Movimento Indipendentista Siciliano,Movement for the Independence of Sicily,,26,503,501,525,1028
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,7,556,PAz,Partito d'Azione,Action Party,1.3,26,503,501,525,1330
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,104,556,PCI,Partito Comunista Italiano,Communist Party,1.6,26,503,501,525,1088
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,1,0,42,556,PLI,Partito Liberale Italiano,Italian Liberal Party,6.45,26,503,501,525,487
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,16,556,PNM,Partito Nazionale Monarchico,Monarchist National Party,8.8,26,503,501,525,1050
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,1,0,23,556,PRI,Partito Repubblicano Italiano,Republican Party,4.9704,26,503,501,525,93
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,2,556,PSA,Partito Sardo d'Azione,Sardinian Action Party,4.2,26,503,501,525,335
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,1,0,0,556,PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,4.6206,26,503,501,525,242
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,115,556,PSI,Partito Socialista Italiano,Italian Socialist Party,3.7722,26,503,501,525,1475
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,1,556,PaCoI,Partito dei Contadini d'Italia,Agrarian Party,5.3,26,503,501,525,618
ITA,Italy,1946-06-02,1947-05-31,De Gasperi III,0,0,0,3,556,one-seat,one seat,one seat,,26,503,501,525,2302
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,1,1,305,574,DC,Democrazia Cristiana,Christian Democrats,5.6611,26,467,676,501,1633
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,0,0,6,574,MSI,Movimento Sociale Italiano,Italian Social Movement,9.1778,26,467,676,501,831
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,0,0,131,574,PCI,Partito Comunista Italiano,Communist Party,1.6,26,467,676,501,1088
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,1,0,19,574,PLI,Partito Liberale Italiano,Italian Liberal Party,6.45,26,467,676,501,487
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,0,0,14,574,PNM,Partito Nazionale Monarchico,Monarchist National Party,8.8,26,467,676,501,1050
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,1,0,9,574,PRI,Partito Repubblicano Italiano,Republican Party,4.9704,26,467,676,501,93
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,0,0,1,574,PSA,Partito Sardo d'Azione,Sardinian Action Party,4.2,26,467,676,501,335
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,1,0,33,574,PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,4.6206,26,467,676,501,242
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,0,0,52,574,PSI,Partito Socialista Italiano,Italian Socialist Party,3.7722,26,467,676,501,1475
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,0,0,1,574,PaCoI,Partito dei Contadini d'Italia,Agrarian Party,5.3,26,467,676,501,618
ITA,Italy,1948-04-18,1948-05-23,De Gasperi IV,0,0,0,3,574,SVP,Südtiroler Volkspartei,South Tyrol Peoples Party,5.4,26,467,676,501,1030
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,1,1,305,574,DC,Democrazia Cristiana,Christian Democrats,5.6611,26,467,123,676,1633
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,0,0,6,574,MSI,Movimento Sociale Italiano,Italian Social Movement,9.1778,26,467,123,676,831
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,0,0,131,574,PCI,Partito Comunista Italiano,Communist Party,1.6,26,467,123,676,1088
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,0,0,19,574,PLI,Partito Liberale Italiano,Italian Liberal Party,6.45,26,467,123,676,487
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,0,0,14,574,PNM,Partito Nazionale Monarchico,Monarchist National Party,8.8,26,467,123,676,1050
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,1,0,9,574,PRI,Partito Repubblicano Italiano,Republican Party,4.9704,26,467,123,676,93
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,0,0,1,574,PSA,Partito Sardo d'Azione,Sardinian Action Party,4.2,26,467,123,676,335
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,1,0,33,574,PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,4.6206,26,467,123,676,242
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,0,0,52,574,PSI,Partito Socialista Italiano,Italian Socialist Party,3.7722,26,467,123,676,1475
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,0,0,1,574,PaCoI,Partito dei Contadini d'Italia,Agrarian Party,5.3,26,467,123,676,618
ITA,Italy,1948-04-18,1950-01-21,De Gasperi V,0,0,0,3,574,SVP,Südtiroler Volkspartei,South Tyrol Peoples Party,5.4,26,467,123,676,1030
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,1,1,305,574,DC,Democrazia Cristiana,Christian Democrats,5.6611,26,467,597,123,1633
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,0,0,6,574,MSI,Movimento Sociale Italiano,Italian Social Movement,9.1778,26,467,597,123,831
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,0,0,131,574,PCI,Partito Comunista Italiano,Communist Party,1.6,26,467,597,123,1088
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,0,0,19,574,PLI,Partito Liberale Italiano,Italian Liberal Party,6.45,26,467,597,123,487
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,0,0,14,574,PNM,Partito Nazionale Monarchico,Monarchist National Party,8.8,26,467,597,123,1050
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,1,0,9,574,PRI,Partito Repubblicano Italiano,Republican Party,4.9704,26,467,597,123,93
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,0,0,1,574,PSA,Partito Sardo d'Azione,Sardinian Action Party,4.2,26,467,597,123,335
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,0,0,33,574,PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,4.6206,26,467,597,123,242
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,0,0,52,574,PSI,Partito Socialista Italiano,Italian Socialist Party,3.7722,26,467,597,123,1475
ITA,Italy,1948-04-18,1951-07-26,De Gasperi VI,0,0,0,1,574,PaCoI,Partito dei Contadini d'Italia,Agrarian Party,5.3,26,467,597,123,618
